A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 1.00000000e+00
r_power = 1
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

1.29434537e-01;2.29499015e-01;3.15950203e-01;3.91024813e-01;4.58142762e-01;5.19124539e-01;5.75005514e-01;6.26405603e-01;6.73706802e-01;7.17147600e-01;7.56877961e-01;7.92994144e-01;8.25562852e-01;8.54639935e-01;8.80286828e-01;9.02586752e-01;9.21661332e-01;9.37686140e-01;9.50900492e-01;9.61604827e-01;9.70142007e-01;9.76867241e-01;9.82117924e-01;9.86192923e-01;9.89343770e-01;9.91774893e-01;9.93648709e-01;9.95092440e-01;9.96204884e-01;9.97062371e-01;9.97723705e-01;9.98234111e-01;9.98628351e-01;9.98933138e-01;9.99168998e-01;9.99351713e-01;9.99493420e-01;9.99603459e-01;9.99689020e-01;9.99755645e-01;9.99807604e-01;9.99848193e-01;9.99879957e-01;9.99904860e-01;9.99924425e-01;9.99939828e-01;9.99951981e-01;9.99961593e-01;9.99969213e-01;9.99975268e-01;9.99980092e-01;9.99983944e-01;9.99987028e-01;9.99989503e-01;9.99991494e-01;9.99993099e-01;9.99994396e-01;9.99995445e-01;9.99996296e-01;9.99996987e-01;9.99997549e-01;9.99998006e-01;9.99998378e-01;9.99998682e-01;9.99998929e-01;9.99999131e-01;9.99999295e-01;9.99999429e-01;9.99999538e-01;9.99999627e-01;9.99999699e-01;9.99999758e-01;9.99999806e-01;9.99999844e-01;9.99999875e-01;9.99999900e-01;9.99999921e-01;9.99999937e-01;9.99999950e-01;9.99999960e-01;9.99999969e-01;9.99999975e-01;9.99999981e-01;9.99999985e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29494850e+00;-7.13737923e-02;2.22055200e-03
1.29442826e-01;2.29513873e-01;3.15970915e-01;3.91050716e-01;4.58173365e-01;5.19159433e-01;5.75044326e-01;6.26447975e-01;6.73752372e-01;7.17195998e-01;7.56928797e-01;7.93047005e-01;8.25617294e-01;8.54695476e-01;8.80342950e-01;9.02642894e-01;9.21716905e-01;9.37740546e-01;9.50953163e-01;9.61655272e-01;9.70189851e-01;9.76912237e-01;9.82159948e-01;9.86231946e-01;9.89379837e-01;9.91808094e-01;9.93679167e-01;9.95120294e-01;9.96230282e-01;9.97085467e-01;9.97744649e-01;9.98253055e-01;9.98645441e-01;9.98948514e-01;9.99182795e-01;9.99364061e-01;9.99504440e-01;9.99613267e-01;9.99697725e-01;9.99763349e-01;9.99814402e-01;9.99854174e-01;9.99885203e-01;9.99909448e-01;9.99928425e-01;9.99943305e-01;9.99954993e-01;9.99964194e-01;9.99971451e-01;9.99977188e-01;9.99981734e-01;9.99985343e-01;9.99988216e-01;9.99990509e-01;9.99992342e-01;9.99993811e-01;9.99994992e-01;9.99995942e-01;9.99996709e-01;9.99997328e-01;9.99997830e-01;9.99998236e-01;9.99998566e-01;9.99998835e-01;9.99999053e-01;9.99999231e-01;9.99999375e-01;9.99999493e-01;9.99999589e-01;9.99999667e-01;9.99999731e-01;9.99999783e-01;9.99999825e-01;9.99999859e-01;9.99999887e-01;9.99999909e-01;9.99999927e-01;9.99999942e-01;9.99999954e-01;9.99999963e-01;9.99999971e-01;9.99999977e-01;9.99999982e-01;9.99999985e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29502855e+00;-7.13695538e-02;1.56105770e-03
1.29448648e-01;2.29524310e-01;3.15985464e-01;3.91068911e-01;4.58194862e-01;5.19183944e-01;5.75071590e-01;6.26477739e-01;6.73784385e-01;7.17229999e-01;7.56964514e-01;7.93084148e-01;8.25655552e-01;8.54734513e-01;8.80382402e-01;9.02682371e-01;9.21755994e-01;9.37778831e-01;9.50990247e-01;9.61690812e-01;9.70223584e-01;9.76943992e-01;9.82189636e-01;9.86259548e-01;9.89405382e-01;9.91831645e-01;9.93700807e-01;9.95140119e-01;9.96248395e-01;9.97101972e-01;9.97759652e-01;9.98266657e-01;9.98657744e-01;9.98959613e-01;9.99192784e-01;9.99373027e-01;9.99512468e-01;9.99620436e-01;9.99704111e-01;9.99769021e-01;9.99819427e-01;9.99858613e-01;9.99889113e-01;9.99912883e-01;9.99931433e-01;9.99945932e-01;9.99957281e-01;9.99966179e-01;9.99973169e-01;9.99978670e-01;9.99983008e-01;9.99986436e-01;9.99989150e-01;9.99991303e-01;9.99993016e-01;9.99994382e-01;9.99995473e-01;9.99996346e-01;9.99997047e-01;9.99997610e-01;9.99998064e-01;9.99998430e-01;9.99998726e-01;9.99998966e-01;9.99999160e-01;9.99999318e-01;9.99999446e-01;9.99999550e-01;9.99999635e-01;9.99999704e-01;9.99999760e-01;9.99999806e-01;9.99999843e-01;9.99999873e-01;9.99999898e-01;9.99999918e-01;9.99999934e-01;9.99999947e-01;9.99999957e-01;9.99999966e-01;9.99999973e-01;9.99999978e-01;9.99999983e-01;9.99999986e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29508477e+00;-7.13665767e-02;1.09793952e-03
1.29452740e-01;2.29531645e-01;3.15995688e-01;3.91081698e-01;4.58209970e-01;5.19201170e-01;5.75090752e-01;6.26498660e-01;6.73806886e-01;7.17253899e-01;7.56989622e-01;7.93110260e-01;8.25682451e-01;8.54761964e-01;8.80410150e-01;9.02710142e-01;9.21783501e-01;9.37805781e-01;9.51016364e-01;9.61715856e-01;9.70247372e-01;9.76966403e-01;9.82210609e-01;9.86279069e-01;9.89423471e-01;9.91848345e-01;9.93716174e-01;9.95154221e-01;9.96261302e-01;9.97113755e-01;9.97770384e-01;9.98276409e-01;9.98666584e-01;9.98967609e-01;9.99199998e-01;9.99379521e-01;9.99518300e-01;9.99625660e-01;9.99708779e-01;9.99773181e-01;9.99823126e-01;9.99861893e-01;9.99892013e-01;9.99915441e-01;9.99933683e-01;9.99947905e-01;9.99959006e-01;9.99967685e-01;9.99974478e-01;9.99979805e-01;9.99983989e-01;9.99987281e-01;9.99989876e-01;9.99991926e-01;9.99993548e-01;9.99994834e-01;9.99995856e-01;9.99996670e-01;9.99997320e-01;9.99997840e-01;9.99998256e-01;9.99998590e-01;9.99998859e-01;9.99999076e-01;9.99999251e-01;9.99999393e-01;9.99999507e-01;9.99999600e-01;9.99999676e-01;9.99999737e-01;9.99999787e-01;9.99999827e-01;9.99999860e-01;9.99999887e-01;9.99999908e-01;9.99999926e-01;9.99999940e-01;9.99999952e-01;9.99999961e-01;9.99999969e-01;9.99999975e-01;9.99999980e-01;9.99999984e-01;9.99999987e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29512428e+00;-7.13644845e-02;7.72549327e-04
1.29455617e-01;2.29536803e-01;3.16002878e-01;3.91090690e-01;4.58220593e-01;5.19213284e-01;5.75104226e-01;6.26513371e-01;6.73822710e-01;7.17270707e-01;7.57007281e-01;7.93128627e-01;8.25701372e-01;8.54781276e-01;8.80429674e-01;9.02729687e-01;9.21802864e-01;9.37824759e-01;9.51034763e-01;9.61733510e-01;9.70264151e-01;9.76982223e-01;9.82225426e-01;9.86292874e-01;9.89436277e-01;9.91860182e-01;9.93727082e-01;9.95164245e-01;9.96270491e-01;9.97122160e-01;9.97778053e-01;9.98283392e-01;9.98672928e-01;9.98973359e-01;9.99205199e-01;9.99384215e-01;9.99522526e-01;9.99629457e-01;9.99712181e-01;9.99776223e-01;9.99825839e-01;9.99864307e-01;9.99894156e-01;9.99917337e-01;9.99935358e-01;9.99949379e-01;9.99960301e-01;9.99968819e-01;9.99975469e-01;9.99980668e-01;9.99984739e-01;9.99987930e-01;9.99990437e-01;9.99992408e-01;9.99993962e-01;9.99995189e-01;9.99996159e-01;9.99996928e-01;9.99997538e-01;9.99998024e-01;9.99998411e-01;9.99998721e-01;9.99998969e-01;9.99999167e-01;9.99999327e-01;9.99999456e-01;9.99999559e-01;9.99999643e-01;9.99999711e-01;9.99999765e-01;9.99999810e-01;9.99999846e-01;9.99999875e-01;9.99999899e-01;9.99999918e-01;9.99999934e-01;9.99999946e-01;9.99999957e-01;9.99999965e-01;9.99999972e-01;9.99999977e-01;9.99999982e-01;9.99999985e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29515207e+00;-7.13630133e-02;5.43812686e-04
1.29457642e-01;2.29540431e-01;3.16007936e-01;3.91097016e-01;4.58228067e-01;5.19221806e-01;5.75113706e-01;6.26523721e-01;6.73833843e-01;7.17282533e-01;7.57019706e-01;7.93141550e-01;8.25714688e-01;8.54794868e-01;8.80443417e-01;9.02743447e-01;9.21816500e-01;9.37838128e-01;9.51047730e-01;9.61745956e-01;9.70275987e-01;9.76993391e-01;9.82235895e-01;9.86302636e-01;9.89445342e-01;9.91868570e-01;9.93734822e-01;9.95171368e-01;9.96277030e-01;9.97128149e-01;9.97783528e-01;9.98288386e-01;9.98677474e-01;9.98977488e-01;9.99208943e-01;9.99387601e-01;9.99525582e-01;9.99632209e-01;9.99714655e-01;9.99778441e-01;9.99827823e-01;9.99866077e-01;9.99895732e-01;9.99918738e-01;9.99936598e-01;9.99950476e-01;9.99961268e-01;9.99969669e-01;9.99976214e-01;9.99981320e-01;9.99985308e-01;9.99988425e-01;9.99990866e-01;9.99992780e-01;9.99994283e-01;9.99995464e-01;9.99996395e-01;9.99997130e-01;9.99997711e-01;9.99998171e-01;9.99998536e-01;9.99998826e-01;9.99999057e-01;9.99999242e-01;9.99999389e-01;9.99999508e-01;9.99999603e-01;9.99999679e-01;9.99999740e-01;9.99999790e-01;9.99999830e-01;9.99999862e-01;9.99999888e-01;9.99999909e-01;9.99999927e-01;9.99999941e-01;9.99999952e-01;9.99999961e-01;9.99999969e-01;9.99999975e-01;9.99999980e-01;9.99999983e-01;9.99999987e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29517161e+00;-7.13619783e-02;3.82943929e-04
1.29459066e-01;2.29542985e-01;3.16011496e-01;3.91101468e-01;4.58233327e-01;5.19227804e-01;5.75120378e-01;6.26531006e-01;6.73841679e-01;7.17290858e-01;7.57028452e-01;7.93150648e-01;8.25724063e-01;8.54804438e-01;8.80453095e-01;9.02753138e-01;9.21826106e-01;9.37847549e-01;9.51056870e-01;9.61754733e-01;9.70284339e-01;9.77001275e-01;9.82243291e-01;9.86309539e-01;9.89451758e-01;9.91874514e-01;9.93740312e-01;9.95176426e-01;9.96281680e-01;9.97132415e-01;9.97787433e-01;9.98291954e-01;9.98680728e-01;9.98980450e-01;9.99211633e-01;9.99390039e-01;9.99527788e-01;9.99634201e-01;9.99716449e-01;9.99780054e-01;9.99829270e-01;9.99867372e-01;9.99896889e-01;9.99919768e-01;9.99937514e-01;9.99951288e-01;9.99961987e-01;9.99970303e-01;9.99976773e-01;9.99981811e-01;9.99985737e-01;9.99988800e-01;9.99991193e-01;9.99993064e-01;9.99994529e-01;9.99995677e-01;9.99996579e-01;9.99997288e-01;9.99997846e-01;9.99998287e-01;9.99998635e-01;9.99998910e-01;9.99999128e-01;9.99999302e-01;9.99999440e-01;9.99999550e-01;9.99999638e-01;9.99999708e-01;9.99999765e-01;9.99999810e-01;9.99999847e-01;9.99999876e-01;9.99999900e-01;9.99999919e-01;9.99999934e-01;9.99999947e-01;9.99999957e-01;9.99999965e-01;9.99999972e-01;9.99999977e-01;9.99999982e-01;9.99999985e-01;9.99999988e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29518537e+00;-7.13612499e-02;2.69756472e-04
1.29460069e-01;2.29544783e-01;3.16014002e-01;3.91104602e-01;4.58237031e-01;5.19232027e-01;5.75125076e-01;6.26536135e-01;6.73847197e-01;7.17296719e-01;7.57034611e-01;7.93157055e-01;8.25730665e-01;8.54811178e-01;8.80459912e-01;9.02759966e-01;9.21832875e-01;9.37854189e-01;9.51063314e-01;9.61760925e-01;9.70290233e-01;9.77006843e-01;9.82248518e-01;9.86314420e-01;9.89456298e-01;9.91878724e-01;9.93744205e-01;9.95180017e-01;9.96284985e-01;9.97135451e-01;9.97790217e-01;9.98294502e-01;9.98683055e-01;9.98982571e-01;9.99213563e-01;9.99391793e-01;9.99529378e-01;9.99635639e-01;9.99717748e-01;9.99781225e-01;9.99830322e-01;9.99868317e-01;9.99897735e-01;9.99920524e-01;9.99938188e-01;9.99951888e-01;9.99962519e-01;9.99970774e-01;9.99977189e-01;9.99982177e-01;9.99986060e-01;9.99989083e-01;9.99991441e-01;9.99993280e-01;9.99994717e-01;9.99995841e-01;9.99996720e-01;9.99997410e-01;9.99997951e-01;9.99998377e-01;9.99998712e-01;9.99998976e-01;9.99999185e-01;9.99999350e-01;9.99999481e-01;9.99999584e-01;9.99999667e-01;9.99999733e-01;9.99999785e-01;9.99999827e-01;9.99999861e-01;9.99999888e-01;9.99999909e-01;9.99999927e-01;9.99999941e-01;9.99999952e-01;9.99999961e-01;9.99999969e-01;9.99999975e-01;9.99999980e-01;9.99999983e-01;9.99999987e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29519506e+00;-7.13607370e-02;1.90085175e-04
1.29460776e-01;2.29546049e-01;3.16015767e-01;3.91106810e-01;4.58239639e-01;5.19235002e-01;5.75128385e-01;6.26539748e-01;6.73851083e-01;7.17300848e-01;7.57038949e-01;7.93161569e-01;8.25735316e-01;8.54815927e-01;8.80464716e-01;9.02764778e-01;9.21837647e-01;9.37858870e-01;9.51067859e-01;9.61765293e-01;9.70294393e-01;9.77010775e-01;9.82252211e-01;9.86317872e-01;9.89459512e-01;9.91881706e-01;9.93746965e-01;9.95182566e-01;9.96287334e-01;9.97137612e-01;9.97792200e-01;9.98296319e-01;9.98684717e-01;9.98984089e-01;9.99214947e-01;9.99393052e-01;9.99530522e-01;9.99636676e-01;9.99718686e-01;9.99782072e-01;9.99831086e-01;9.99869004e-01;9.99898352e-01;9.99921077e-01;9.99938682e-01;9.99952329e-01;9.99962911e-01;9.99971123e-01;9.99977498e-01;9.99982451e-01;9.99986301e-01;9.99989296e-01;9.99991627e-01;9.99993443e-01;9.99994860e-01;9.99995965e-01;9.99996829e-01;9.99997504e-01;9.99998033e-01;9.99998447e-01;9.99998772e-01;9.99999028e-01;9.99999229e-01;9.99999388e-01;9.99999513e-01;9.99999612e-01;9.99999690e-01;9.99999752e-01;9.99999802e-01;9.99999841e-01;9.99999872e-01;9.99999897e-01;9.99999917e-01;9.99999933e-01;9.99999946e-01;9.99999957e-01;9.99999965e-01;9.99999972e-01;9.99999977e-01;9.99999982e-01;9.99999985e-01;9.99999988e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29520188e+00;-7.13603757e-02;1.33984324e-04
1.29461273e-01;2.29546942e-01;3.16017011e-01;3.91108366e-01;4.58241477e-01;5.19237097e-01;5.75130716e-01;6.26542294e-01;6.73853822e-01;7.17303757e-01;7.57042007e-01;7.93164750e-01;8.25738594e-01;8.54819274e-01;8.80468102e-01;9.02768170e-01;9.21841011e-01;9.37862172e-01;9.51071065e-01;9.61768375e-01;9.70297330e-01;9.77013552e-01;9.82254821e-01;9.86320313e-01;9.89461786e-01;9.91883818e-01;9.93748921e-01;9.95184374e-01;9.96289002e-01;9.97139147e-01;9.97793612e-01;9.98297615e-01;9.98685904e-01;9.98985175e-01;9.99215938e-01;9.99393955e-01;9.99531344e-01;9.99637423e-01;9.99719363e-01;9.99782685e-01;9.99831640e-01;9.99869503e-01;9.99898801e-01;9.99921480e-01;9.99939044e-01;9.99952652e-01;9.99963200e-01;9.99971380e-01;9.99977727e-01;9.99982654e-01;9.99986480e-01;9.99989454e-01;9.99991767e-01;9.99993566e-01;9.99994967e-01;9.99996059e-01;9.99996911e-01;9.99997575e-01;9.99998095e-01;9.99998501e-01;9.99998819e-01;9.99999068e-01;9.99999264e-01;9.99999417e-01;9.99999538e-01;9.99999633e-01;9.99999709e-01;9.99999768e-01;9.99999815e-01;9.99999852e-01;9.99999882e-01;9.99999905e-01;9.99999924e-01;9.99999939e-01;9.99999951e-01;9.99999961e-01;9.99999968e-01;9.99999974e-01;9.99999979e-01;9.99999983e-01;9.99999987e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29520668e+00;-7.13601212e-02;9.44668784e-05
1.29461624e-01;2.29547570e-01;3.16017888e-01;3.91109462e-01;4.58242773e-01;5.19238575e-01;5.75132360e-01;6.26544088e-01;6.73855752e-01;7.17305808e-01;7.57044162e-01;7.93166992e-01;8.25740905e-01;8.54821634e-01;8.80470489e-01;9.02770562e-01;9.21843383e-01;9.37864501e-01;9.51073328e-01;9.61770551e-01;9.70299403e-01;9.77015513e-01;9.82256665e-01;9.86322039e-01;9.89463395e-01;9.91885314e-01;9.93750308e-01;9.95185657e-01;9.96290186e-01;9.97140239e-01;9.97794617e-01;9.98298538e-01;9.98686750e-01;9.98985950e-01;9.99216647e-01;9.99394603e-01;9.99531934e-01;9.99637960e-01;9.99719851e-01;9.99783127e-01;9.99832040e-01;9.99869865e-01;9.99899127e-01;9.99921774e-01;9.99939308e-01;9.99952889e-01;9.99963412e-01;9.99971569e-01;9.99977895e-01;9.99982804e-01;9.99986613e-01;9.99989572e-01;9.99991871e-01;9.99993658e-01;9.99995048e-01;9.99996130e-01;9.99996973e-01;9.99997630e-01;9.99998142e-01;9.99998542e-01;9.99998855e-01;9.99999099e-01;9.99999290e-01;9.99999440e-01;9.99999558e-01;9.99999650e-01;9.99999723e-01;9.99999780e-01;9.99999826e-01;9.99999861e-01;9.99999889e-01;9.99999912e-01;9.99999929e-01;9.99999944e-01;9.99999955e-01;9.99999964e-01;9.99999971e-01;9.99999977e-01;9.99999981e-01;9.99999985e-01;9.99999988e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29521007e+00;-7.13599418e-02;6.66217825e-05
1.29461872e-01;2.29548014e-01;3.16018506e-01;3.91110235e-01;4.58243686e-01;5.19239616e-01;5.75133518e-01;6.26545353e-01;6.73857113e-01;7.17307254e-01;7.57045681e-01;7.93168573e-01;8.25742534e-01;8.54823298e-01;8.80472173e-01;9.02772250e-01;9.21845057e-01;9.37866144e-01;9.51074924e-01;9.61772086e-01;9.70300868e-01;9.77016899e-01;9.82257969e-01;9.86323259e-01;9.89464534e-01;9.91886373e-01;9.93751290e-01;9.95186567e-01;9.96291027e-01;9.97141015e-01;9.97795331e-01;9.98299195e-01;9.98687354e-01;9.98986504e-01;9.99217154e-01;9.99395066e-01;9.99532357e-01;9.99638345e-01;9.99720202e-01;9.99783446e-01;9.99832329e-01;9.99870127e-01;9.99899364e-01;9.99921987e-01;9.99939500e-01;9.99953061e-01;9.99963567e-01;9.99971708e-01;9.99978019e-01;9.99982914e-01;9.99986712e-01;9.99989660e-01;9.99991948e-01;9.99993727e-01;9.99995109e-01;9.99996184e-01;9.99997020e-01;9.99997671e-01;9.99998178e-01;9.99998574e-01;9.99998882e-01;9.99999123e-01;9.99999311e-01;9.99999458e-01;9.99999573e-01;9.99999664e-01;9.99999735e-01;9.99999790e-01;9.99999834e-01;9.99999868e-01;9.99999895e-01;9.99999917e-01;9.99999934e-01;9.99999947e-01;9.99999958e-01;9.99999966e-01;9.99999973e-01;9.99999978e-01;9.99999983e-01;9.99999986e-01;9.99999989e-01;9.99999991e-01;9.99999993e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29521246e+00;-7.13598153e-02;4.69954725e-05
1.29462046e-01;2.29548326e-01;3.16018942e-01;3.91110780e-01;4.58244330e-01;5.19240350e-01;5.75134335e-01;6.26546245e-01;6.73858073e-01;7.17308274e-01;7.57046753e-01;7.93169688e-01;8.25743684e-01;8.54824472e-01;8.80473360e-01;9.02773440e-01;9.21846238e-01;9.37867304e-01;9.51076051e-01;9.61773171e-01;9.70301902e-01;9.77017878e-01;9.82258890e-01;9.86324122e-01;9.89465339e-01;9.91887122e-01;9.93751987e-01;9.95187212e-01;9.96291624e-01;9.97141566e-01;9.97795839e-01;9.98299663e-01;9.98687784e-01;9.98986899e-01;9.99217516e-01;9.99395397e-01;9.99532660e-01;9.99638622e-01;9.99720454e-01;9.99783675e-01;9.99832538e-01;9.99870316e-01;9.99899535e-01;9.99922142e-01;9.99939640e-01;9.99953187e-01;9.99963680e-01;9.99971810e-01;9.99978110e-01;9.99982996e-01;9.99986784e-01;9.99989724e-01;9.99992006e-01;9.99993778e-01;9.99995154e-01;9.99996224e-01;9.99997055e-01;9.99997702e-01;9.99998205e-01;9.99998597e-01;9.99998903e-01;9.99999141e-01;9.99999327e-01;9.99999472e-01;9.99999585e-01;9.99999674e-01;9.99999743e-01;9.99999798e-01;9.99999840e-01;9.99999874e-01;9.99999900e-01;9.99999921e-01;9.99999937e-01;9.99999950e-01;9.99999960e-01;9.99999968e-01;9.99999975e-01;9.99999980e-01;9.99999984e-01;9.99999987e-01;9.99999990e-01;9.99999992e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29521414e+00;-7.13597261e-02;3.31582425e-05
1.29462169e-01;2.29548547e-01;3.16019249e-01;3.91111165e-01;4.58244784e-01;5.19240868e-01;5.75134911e-01;6.26546875e-01;6.73858750e-01;7.17308993e-01;7.57047508e-01;7.93170474e-01;8.25744495e-01;8.54825300e-01;8.80474198e-01;9.02774280e-01;9.21847071e-01;9.37868122e-01;9.51076846e-01;9.61773936e-01;9.70302632e-01;9.77018570e-01;9.82259542e-01;9.86324733e-01;9.89465909e-01;9.91887653e-01;9.93752480e-01;9.95187669e-01;9.96292047e-01;9.97141957e-01;9.97796200e-01;9.98299995e-01;9.98688090e-01;9.98987180e-01;9.99217775e-01;9.99395634e-01;9.99532877e-01;9.99638820e-01;9.99720635e-01;9.99783840e-01;9.99832688e-01;9.99870452e-01;9.99899659e-01;9.99922254e-01;9.99939741e-01;9.99953279e-01;9.99963762e-01;9.99971884e-01;9.99978177e-01;9.99983055e-01;9.99986838e-01;9.99989772e-01;9.99992048e-01;9.99993815e-01;9.99995188e-01;9.99996253e-01;9.99997081e-01;9.99997725e-01;9.99998226e-01;9.99998615e-01;9.99998919e-01;9.99999155e-01;9.99999339e-01;9.99999483e-01;9.99999595e-01;9.99999682e-01;9.99999750e-01;9.99999804e-01;9.99999846e-01;9.99999878e-01;9.99999904e-01;9.99999924e-01;9.99999940e-01;9.99999953e-01;9.99999962e-01;9.99999970e-01;9.99999976e-01;9.99999981e-01;9.99999985e-01;9.99999988e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29521533e+00;-7.13596632e-02;2.34000087e-05
